# ----------------------------------------
# Medhavi Skills University website
# Free form-Free form 1
# 20260827-20260923
# ----------------------------------------

Device category,mobile,desktop,tablet,Totals
City,Active users,Active users,Active users,Active users
Nizamabad,2,0,0,2
Orai,1,1,0,2
Orlando,0,2,0,2
Ottawa,1,1,0,2
Pali,1,1,0,2
Palsana,1,1,0,2
Pandhurna,1,1,0,2
Pasig,1,1,0,2
Pathankot,1,1,0,2
Patiali,2,0,0,2
Patti,1,1,0,2
Phagwara,1,1,0,2
Phaltan,0,2,0,2
Phaphamau,2,0,0,2
Phnom Penh,0,2,0,2
Pilibhit,1,1,0,2
Pithampur,2,0,0,2
Pleiku,0,2,0,2
Porbandar,2,0,0,2
Port Harcourt,2,0,0,2
Pratapgarh,1,1,0,2
Punalur,2,0,0,2
Rabat,0,2,0,2
Rach Gia,0,2,0,2
Rajpura,2,0,0,2
Rajula,1,1,0,2
Raleigh,1,1,0,2
Ramgarh,2,0,0,2
Rangia,2,0,0,2
Ravulapalem,2,0,0,2
Rayagada,2,0,0,2
Rees,2,0,0,2
Rheda-Wiedenbruck,0,2,0,2
Rotterdam,1,1,0,2
Sabarang,2,0,0,2
Saifai,1,1,0,2
Samastipur,2,0,0,2
Sangola,2,0,0,2
Sasaram,2,0,0,2
Sattenapalle,2,0,0,2
Seattle,1,1,0,2
Sheopur,1,1,0,2
Shevgaon,1,1,0,2
Shivpuri,1,1,0,2
Siddharthanagar,0,2,0,2
Siddhpur,2,0,0,2
Sitamarhi,2,0,0,2
Sochi,0,2,0,2
Sofia,1,1,0,2
Sousse,0,2,0,2
Soweto,2,0,0,2
Srikakulam,1,1,0,2
Srivilliputhur,2,0,0,2
Sulya,2,0,0,2
Sydney,1,1,0,2
Taliparamba,1,1,0,2
Tappa,2,0,0,2
Tarakeshwar,2,0,0,2
Tel Aviv-Yafo,1,1,0,2
Thanh Vinh,0,2,0,2
Thiruvalla,2,0,0,2
Thodupuzha,2,0,0,2
Tihu Circle,1,1,0,2
Tikamgarh,1,1,0,2
Tinsukia,1,1,0,2
Tiruchendur,0,2,0,2
Tyumen,0,2,0,2
Umarga,1,1,0,2
Una,1,1,0,2
Unnao,2,0,0,2
Utsunomiya,1,1,0,2
Vacoas-Phoenix,1,1,0,2
Valsad,2,0,0,2
Vasco Da Gama,2,0,0,2
Vasind,1,1,0,2
Velloor,1,1,0,2
Veraval,1,1,0,2
Vikarabad,1,1,0,2
Virudhunagar,2,0,0,2
Wolverhampton,2,0,0,2
Xiaogan,0,2,0,2
Yanbian Korean Autonomous Prefecture,0,2,0,2
Yokohama,0,2,0,2
5932,0,1,0,1
6th of October City,1,0,0,1
85617,1,0,0,1
86495,1,0,0,1
9314,1,0,0,1
9377,0,1,0,1
Aarhus,0,1,0,1
Abha,1,0,0,1
Abidjan,0,1,0,1
Abohar,1,0,0,1
Acton,0,1,0,1
Actopan,0,1,0,1
Adoni,1,0,0,1
Aikaranad North,0,1,0,1
Ain Benian,0,1,0,1
Akaltara,1,0,0,1
Akkalkot,1,0,0,1
Al Ain,0,1,0,1
Al Khobar,1,0,0,1
Alamgir,0,1,0,1
Alamgirpur,1,0,0,1
Alaminos City,1,0,0,1
Alangudi,1,0,0,1
Albemarle,0,1,0,1
Alexandria,0,1,0,1
Almora,1,0,0,1
Altos,0,1,0,1
Aluva,1,0,0,1
Amalner,1,0,0,1
Ambalapuzha,1,0,0,1
Ambejogai,1,0,0,1
Americana,0,1,0,1
Amroha,1,0,0,1
Anadarko,1,0,0,1
Anakapalli,1,0,0,1
Anekal,0,1,0,1
Angeles,1,0,0,1
Antalya,0,1,0,1
Antony,0,1,0,1
Antwerp,1,0,0,1
Arambagh,1,0,0,1
Araras,0,1,0,1
Arauca,0,1,0,1
Arusha,1,0,0,1
Asandh,1,0,0,1
Ash-Shahaniyah,0,1,0,1
Ashoknagar Kalyangarh,1,0,0,1
Ashta,0,1,0,1
Ashulia,1,0,0,1
Asoda Todran,0,1,0,1
Astana,0,1,0,1
Asuncion,0,1,0,1
Athens,1,0,0,1
Atlanta,1,0,0,1
Atmakur,0,1,0,1
Atpadi,1,0,0,1
Atsugi,1,0,0,1
Attingal,0,1,0,1
Auburn,0,1,0,1
Aurora,1,0,0,1
